Kitchen,Dish Name,Description,Portion,Ingredients,Calories,Protein (g),Total Carbohydrates (g),Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Dietary Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Trans Fat (g),Vitamin D (IU),Vitamin C (mg),Calories From Fat,Vitamin A (RE),Saturated Fat + Trans Fat (g),Allergens
CUCINA,Miso Bacon Udon Noodles,Creamy udon noodles with crispy bacon and Parmesan cheese,3/4 cup,"Udon Noodles, Applewood Bacon, Egg, Parmesan Cheese, Green Onions, Miso Paste, Black Pepper",390,9,50,0,13,4,170,0,710,170,160,4.7,-,35,1,120,15+,5+,"Gluten, Milk, Wheat, Egg, Soy, Onion, Pork"
CUCINA,Garlic Breadstick ,"Garlic Breadstick, Butter, and Parsley ",1 each,"French Breadsticks Dough, Butter, Parsley, Garlic",80,2,12,less than 1 gram,3,1.5,5,0,140,30,10,0.8,0,10,0,25,0+,0,"Gluten, Milk, Wheat, Egg, Garlic, Soy*"
CUCINA,Marinara Sauce,,1 ladle-2oz,Marinara Sauce,35,less than 1 gram,7,4,0,0,0,1,230,180,20,0.4,0,0,-,0,-,0,"Onion, Tomato, Garlic, Gluten*"
CUCINA,Caesar Salad,"With romaine lettuce, parmesan cheese, and garlic croutons",1 cup,"Lettuce, White Bread, Parmesan Cheese, Canola Oil, Garlic",110,4,11,2,5,1.5,less than 5 milligrams,1,190,150,100,1,-,0,2+,45,-,0+,"Gluten, Milk, Wheat, Soy, Garlic, Tree Nuts*"
CUCINA,Cheese Pizza,"Traditional pie topped with Italian tomato sauce, mozzarella, and parmesan cheese.",1 slice,"Pizza Dough, Parmesan Cheese, Part Skim Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Canola Oil, Salt, Basil, Garlic, Black Pepper",200,10,18,2,10,4,20,less than 1 gram,640,140,230,1.3,0,15,3,90,0+,5,"Gluten, Milk, Wheat, Tomato, Garlic, Egg*, Soy*, Sesame*"
CUCINA,Chicken Tuscano Pizza,"Pizza topped with spinach, roasted garlic, tomatoes, grilled chicken, fresh oregano, mozzarella and feta cheese",1 slice,"Pizza Dough, Chicken, Part Skim Mozzarella Cheese, Tomatoes, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Spinach, Feta Cheese, Parmesan Cheese, Garlic, Oregano, Garlic, Oregano, Red Pepper, Canola Oil",310,25,26,3+,13,6,55,2,750,470,370,2.5,-,20,12,120,0+,5+,"Gluten, Milk, Wheat, Soy, Tomato, Garlic, Egg*, Poultry, Sesame*"
CUCINA,Margarita Pizza,"Taste of tomatoes, fresh mozzarella and fresh basil",1 slice,"Mozzarella Cheese, Pizza Dough, Tomatoes, Basil, Canola Oil, Garlic, Parmesan Cheese, Salt, Basil, Parsley, Garlic, Oregano, Red Pepper, Black Pepper",190,11,16,1+,10,5,30,less than 1 gram,320,110,190,1.2,-,15,3,90,0+,5+,"Gluten, Milk, Wheat, Tomato, Garlic, Egg*, Soy*, Sesame*"
CUCINA,Grated Parmesan Cheese,,1 tbsp,Parmesan Cheese,25,2,less than 1 gram,0,1.5,1,5,0,115,10,50,0,0,0,0,15,-,0,Milk
CUCINA,Crushed Red Pepper,,1 tsp,Red Pepper,5,0,1,0,0,0,0,0,0,40,0,0.1,-,0,1,0,-,0+,
CUCINA,Dried Oregano,,1 tsp,Oregano,0,0,less than 1 gram,0,0,0,0,0,0,10,20,0.4,0,0,0,0,-,0,
