Kitchen,Dish Name,Description,Portion,Ingredients,Calories,Protein (g),Total Carbohydrates (g),Sugar (g),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Dietary Fiber (g),Sodium (mg),Potassium (mg),Calcium (mg),Iron (mg),Trans Fat (g),Vitamin D (IU),Vitamin C (mg),Calories From Fat,Vitamin A (RE),Saturated Fat + Trans Fat (g),Allergens
GARDEN SOCIAL,Romaine Blend,,1 cup,Lettuce Blend,10,less than 1 gram,1,less than 1 gram,0,0,0,less than 1 gram,0,110,10,0.4,0,0,2,0,-,0,
GARDEN SOCIAL,Spring Mix,,1 cup,Spring Lettuce Salad Mix,5,less than 1 gram,1,less than 1 gram,0,0,0,less than 1 gram,0,130,20,0.7,0,0,2,0,-,0,
GARDEN SOCIAL,Baby Spinach,,1 cup,Spinach,5,less than 1 gram,1,0,0,0,0,less than 1 gram,25,170,30,0.8,0,0,8,0,-,0,
GARDEN SOCIAL,Vegetable Pasta Salad,,1/2 cup,"Water, Penne, Tomatoes, Balsamic Vinaigrette, Broccoli, Kalamata Olives, Onions, Salt",70,2,11,2,3,0,0,1,200,70,10+,0.4,0,0,8+,25,0+,0+,"Gluten, Wheat, Onion, Tomato, Garlic, Mustard*, Egg*, Celery*"
GARDEN SOCIAL,Pickled Beet Salad,"Sliced pickled beets, fresh onions all tossed and served in a light vinaigrette",1/2 cup,"Beets (Beets, water, salt), Onions, Lettuce Leaf, Red Wine Vinegar, Canola Oil, Parsley, Salt, Sugar, Black Pepper, Cumin",45,1,8,5,1,0,0+,2,260,160,20,1.7,-,0+,6,10,-,0+,"Onion, Sulphites"
GARDEN SOCIAL,Cherry Tomatoes,,1 ounce,Tomatoes,5,0,1,less than 1 gram,0,0,0,0,0,70,0,0.1,0,0,4,0,-,0,Tomato
GARDEN SOCIAL,Sliced Cucumber,,1 ounce,Cucumber,0,0,1,0,0,0,0,0,0,40,0,0.1,0,0,1,0,-,0,
GARDEN SOCIAL,Shredded Carrots,,1 ounce,Carrots,10,0,3,1,0,0,0,less than 1 gram,20,90,10,0.1,0,0,2,0,-,0,
GARDEN SOCIAL,Julienne Celery,,1 ounce,Celery,0,0,less than 1 gram,0,0,0,0,0,25,70,10,0.1,0,0,1,0,-,0,Celery
GARDEN SOCIAL,Sliced Red Onion,,1 ounce,Onions,10,0,3,1,0,0,0,0,0,40,10,0.1,0,0,2,0,-,0,Onion
GARDEN SOCIAL,Red and Green Bell Peppers,,1 ounce,"Green Bell Peppers, Red Bell Peppers",5,0,2,less than 1 gram,0,0,0,less than 1 gram,0,50,0,0.1,0,0,29,0,-,0,
GARDEN SOCIAL,Blanched Broccoli,,1 ounce,"Water, Water, Broccoli, Salt",10,less than 1 gram,2,0,0,0,0,less than 1 gram,15,90,10,0.2,0,0,25,0,0+,0,
GARDEN SOCIAL,Black Bean and Corn Salad,Spicy Classical Black Bean Salad ,1 ounce,"Black beans (Black beans, water, salt, calcium chloride), Corn, Onions, Lime, Jalapeno, Olive Oil, Cilantro, Garlic, Cumin",25,1,5,0,0.5,0,0,1,20,80,10,0.4,-,0,2,5,-,0+,"Onion, Garlic"
GARDEN SOCIAL,Chick Peas,,1 ounce,"Chick peas (Chick Peas, Water, Salt, Mustard, Calcium Chloride, Disodium EDTA)",45,3,8,1,0.5,0,0,2,70,80,10,0.8,0,0,0,5,-,0,
GARDEN SOCIAL,Sweet and Sour Tofu,Fried Tofu with a sweet and tangy sauce with fresh steamed vegetables.,1 ounce,"Tofu, Green Bell Peppers, Onions, Pineapple, Red Bell Peppers, Water, Ketchup, Rice Wine, Soy Sauce, Unseasoned Rice Wine Vinegar, Cornstarch, Green Onions, Sugar",20,less than 1 gram,4,2,0,0+,0,0,50,40+,10+,0.2+,-,0+,8+,0,0+,0+,"Soy, Onion, Tomato, Mustard*, Sulphites, Gluten*, Alcohol, Wheat*"
GARDEN SOCIAL,Grilled Chicken,"Boneless breast of chicken, grilled to perfection",1 ounce,"Chicken, Canola Oil, Salt, Black Pepper",50,7,0,0,2,0,25,0,280,80,0,0.1,0,0,0,20,-,0,Poultry
GARDEN SOCIAL,Shredded Cheddar Cheese,,1 ounce,Cheddar Cheese,110,6,less than 1 gram,0,9,5,30,0,190,20,200,0,-,5,0,80,-,5+,Milk
GARDEN SOCIAL,Shredded Parmesan Cheese,,1 ounce,Parmesan Cheese,120,11,less than 1 gram,0,8,5,20,0,480,30,360,0.2,-,5,0,70,-,5+,Milk
GARDEN SOCIAL,Cubed Cantaloupe,,1/4 cup,Cantaloupe,15,0,3,3,0,0,0,0,5,110,0,0.1,0,0,15,0,-,0,
GARDEN SOCIAL,Red Seedless Grapes,,1/4 cup,Grapes,25,0,7,6,0,0,0,0,0,80,0,0.1,0,0,1,0,-,0,
GARDEN SOCIAL,Cubed Pineapple,,1/4 cup,Pineapple,20,0,5,4,0,0,0,less than 1 gram,0,40,10,0.1,0,0,20,0,-,0,
GARDEN SOCIAL,Cream Cheese,,1 ounce,Cream Cheese,100,2,2,1,10,6,30,0,90,40,30,0,0,0,0,90,-,5,Milk
GARDEN SOCIAL,Butter PC,,1 each,Butter,70,0,0,0,8,4.5,25,0,60,0,0,0,0,0,0,70,-,5,Milk
GARDEN SOCIAL,Classic Caesar Dressing,,1 floz,Caesar Dressing,150,1,less than 1 gram,0,16,3,15,0,220,10,30,0.1,0,0,1,140,5,5,"Milk, Egg, Onion, Garlic, Mustard, Fish"
GARDEN SOCIAL,Sesame Dressing,,1 floz,Asian Sesame Dressing,80,0,12,10,4,0,0,0,320,0,0,0,0,0,0,35,0,0,"Gluten, Wheat, Soy, Garlic, Mustard*, Celery*, Sesame"
GARDEN SOCIAL,Balsamic Vinaigrette Dressing,,1 floz,Balsamic Vinaigrette,60,0,5,4,4.5,0,0,0,190,0,-,0,0,0,-,45,-,0,"Garlic, Mustard*, Celery*"
GARDEN SOCIAL,Fat Free Raspberry Dressing,,1 floz,Raspberry Vinaigrette,30,0,8,7,0,0,0,0,75,0,0,0,0,-,-,0,-,0,"Onion, Garlic"
GARDEN SOCIAL,Homestyle Ranch Dressing,,1 floz,Ranch Dressing,100,0,less than 1 gram,less than 1 gram,11,1.5,10,0,250,0,0,0,0,-,0,100,-,0,"Milk, Egg, Mustard*, Celery*, MSG"
GARDEN SOCIAL,Fat Free Italian Dressing,,1 floz,Italian Dressing,15,0,3,2,0,0,0,0,470,0,0,0,0,0,-,0,-,0,"Onion, Garlic, Mustard*, Celery*"
GARDEN SOCIAL,Blue Cheese Dressing,,1 floz,Blue Cheese Dressing,160,0,1,1,16,3.5,15,0,270,0,0,0,0,-,-,140,-,5,"Milk, Egg, Onion, Garlic, MSG, Mustard"
GARDEN SOCIAL,Greek Dressing,,1 floz,Greek Dressing,100,0,less than 1 gram,0,11,1.5,0,0,280,10,10,0.1,0,0,0,100,0,0,"Milk, Onion, Garlic, Mustard, Celery"
GARDEN SOCIAL,Croutons,Croutons to add to a salad,1 ounce,"French Baguette, Garlic, Salt, Canola Oil",80,2,16,0,0,0,0,less than 1 gram,360,30,10,1.1,0,0,0,0,0+,0,"Gluten, Wheat, Garlic, Milk*, Soy*, Tree Nuts*"
